Counties,# of Listings,Most Recent Report,Last Posted,Link
Wayne,1,9-2012,8-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mi&county=Wayne
Wexford,4,7-2011,11-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mi&county=Wexford
Aitkin,,,,
Anoka,2,11-2003,3-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Anoka
Becker,,,,
Beltrami,9,7-2014,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Beltrami
Benton,,,,
Big Stone,,,,
Blue Earth,,,,
Brown,,,,
Carlton,4,10-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Carlton
Carver,,,,
Cass,5,10-2023,11-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Cass
Chippewa,,,,
Chisago,1,7-2001,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Chisago
Clay,1,3-2009,10-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Clay
Clearwater,,,,
Cook,2,8-2013,4-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Cook
Cottonwood,,,,
Crow Wing,1,9-1978,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Crow+Wing
Dakota,,,,
Dodge,,,,
Douglas,,,,
Faribault,,,,
Fillmore,2,10-2005,8-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Fillmore
Freeborn,,,,
Goodhue,,,,
Grant,,,,
Hennepin,,,,
Houston,1,10-1975,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Houston
Hubbard,1,6-2008,8-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Hubbard
Isanti,,,,
Itasca,11,6-2015,11-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Itasca
Jackson,,,,
Kanabec,,,,
Kandiyohi,,,,
Kittson,,,,
Koochiching,1,10-1983,8-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Koochiching
Lac Qui Parle,,,,
Lake,3,9-2012,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Lake
Lake Of The Woods,1,7-1976,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Lake+Of+The+Woods
Le Sueur,,,,
Lincoln,,,,
Lyon,,,,
Mahnomen,,,,
Marshall,1,11-1978,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Marshall
County,# ofListings,MostRecentReport,LastPosted,
Martin,,,,
McLeod,,,,
Meeker,,,,
Mille Lacs,,,,
Morrison,,,,
Mower,,,,
Murray,,,,
Nicollet,,,,
Nobles,,,,
Norman,,,,
Olmsted,,,,
Otter Tail,,,,
Pennington,,,,
Pine,5,5-2024,7-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Pine
Pipestone,,,,
Polk,,,,
Pope,,,,
Ramsey,,,,
Red Lake,,,,
Redwood,,,,
Renville,,,,
Rice,,,,
Rock,,,,
Roseau,2,4-2013,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Roseau
Scott,,,,
Sherburne,,,,
Sibley,,,,
St. Louis,21,11-2020,12-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=St%2E+Louis
Stearns,1,3-2018,4-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Stearns
Steele,,,,
Stevens,,,,
Swift,,,,
Todd,1,4-1989,12-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Todd
Traverse,,,,
Wabasha,,,,
Wadena,1,8-1992,6-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Wadena
Waseca,,,,
Washington,1,9-1972,6-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Washington
Watonwan,,,,
Wilkin,,,,
Winona,,,,
Wright,,,,
Yellow Medicine,,,,
Aitkin,,,,
Anoka,2,11-2003,3-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Anoka
Becker,,,,
Beltrami,9,7-2014,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Beltrami
Benton,,,,
Big Stone,,,,
Blue Earth,,,,
Brown,,,,
Carlton,4,10-2022,12-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Carlton
Carver,,,,
Cass,5,10-2023,11-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Cass
Chippewa,,,,
Chisago,1,7-2001,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Chisago
Clay,1,3-2009,10-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Clay
Clearwater,,,,
Cook,2,8-2013,4-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Cook
Cottonwood,,,,
Crow Wing,1,9-1978,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Crow+Wing
Dakota,,,,
Dodge,,,,
Douglas,,,,
Faribault,,,,
Fillmore,2,10-2005,8-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Fillmore
Freeborn,,,,
Goodhue,,,,
Grant,,,,
Hennepin,,,,
Houston,1,10-1975,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Houston
Hubbard,1,6-2008,8-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Hubbard
Isanti,,,,
Itasca,11,6-2015,11-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Itasca
Jackson,,,,
Kanabec,,,,
Kandiyohi,,,,
Kittson,,,,
Koochiching,1,10-1983,8-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Koochiching
Lac Qui Parle,,,,
Lake,3,9-2012,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Lake
Lake Of The Woods,1,7-1976,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Lake+Of+The+Woods
Le Sueur,,,,
Lincoln,,,,
Lyon,,,,
Mahnomen,,,,
Marshall,1,11-1978,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Marshall
County,# ofListings,MostRecentReport,LastPosted,
Martin,,,,
McLeod,,,,
Meeker,,,,
Mille Lacs,,,,
Morrison,,,,
Mower,,,,
Murray,,,,
Nicollet,,,,
Nobles,,,,
Norman,,,,
Olmsted,,,,
Otter Tail,,,,
Pennington,,,,
Pine,5,5-2024,7-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Pine
Pipestone,,,,
Polk,,,,
Pope,,,,
Ramsey,,,,
Red Lake,,,,
Redwood,,,,
Renville,,,,
Rice,,,,
Rock,,,,
Roseau,2,4-2013,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Roseau
Scott,,,,
Sherburne,,,,
Sibley,,,,
St. Louis,21,11-2020,12-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=St%2E+Louis
Stearns,1,3-2018,4-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Stearns
Steele,,,,
Stevens,,,,
Swift,,,,
Todd,1,4-1989,12-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Todd
Traverse,,,,
Wabasha,,,,
Wadena,1,8-1992,6-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Wadena
Waseca,,,,
Washington,1,9-1972,6-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mn&county=Washington
Watonwan,,,,
Wilkin,,,,
Winona,,,,
Wright,,,,
Yellow Medicine,,,,
Adair,,,,
Andrew,1,7-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Andrew
Atchison,,,,
Audrain,,,,
Barry,2,7-2008,6-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Barry
Barton,,,,
Bates,,,,
Benton,,,,
Bollinger,1,7-2012,10-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Bollinger
Boone,5,5-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Boone
Buchanan,2,6-1996,9-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Buchanan
Butler,,,,
Caldwell,,,,
Callaway,2,12-2004,10-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Callaway
Camden,2,6-1986,1-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Camden
Cape Girardeau,1,7-2014,11-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cape+Girardeau
Carroll,,,,
Carter,,,,
Cass,5,7-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cass
Cedar,2,4-2007,6-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cedar
Chariton,1,11-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Chariton
Christian,,,,
Clark,,,,
Clay,1,5-2012,7-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Clay
Clinton,3,8-2023,9-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Clinton
Cole,,,,
Cooper,2,10-1975,3-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cooper
Crawford,7,7-2022,7-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Crawford
Dade,1,12-1978,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Dade
Dallas,,,,
Daviess,1,11-2013,12-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Daviess
De Kalb,,,,
Dent,2,4-2005,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Dent
Douglas,4,11-2004,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Douglas
Dunklin,,,,
Franklin,4,3-2019,11-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Franklin
Gasconade,2,4-2003,6-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Gasconade
Gentry,,,,
Greene,3,12-2004,12-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Greene
Grundy,,,,
Harrison,1,8-1979,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Harrison
Henry,1,11-1998,11-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Henry
Hickory,,,,
Holt,,,,
Howard,,,,
Howell,1,7-1967,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Howell
Iron,3,9-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Iron
Jackson,9,8-2020,10-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jackson
Jasper,2,1-2008,4-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jasper
Jefferson,5,2-2015,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jefferson
Johnson,,,,
Knox,,,,
Laclede,,,,
Lafayette,3,4-2013,6-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Lafayette
Lawrence,4,11-1997,12-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Lawrence
Lewis,,,,
Lincoln,,,,
Linn,,,,
County,# ofListings,MostRecentReport,LastPosted,
Livingston,1,6-2021,6-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Livingston
Macon,,,,
Madison,1,5-1986,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Madison
Maries,1,11-2017,7-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Maries
Marion,1,6-1997,11-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Marion
McDonald,2,9-2010,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=McDonald
Mercer,1,4-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Mercer
Miller,2,8-2016,8-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Miller
Mississippi,1,8-2016,7-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Mississippi
Moniteau,,,,
Monroe,,,,
Montgomery,1,9-1976,12-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Montgomery
Morgan,1,11-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Morgan
New Madrid,,,,
Newton,1,6-2010,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Newton
Nodaway,,,,
Oregon,2,6-1971,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Oregon
Osage,,,,
Ozark,2,11-2007,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ozark
Pemiscot,2,10-1961,11-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pemiscot
Perry,,,,
Pettis,,,,
Phelps,1,1-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Phelps
Pike,5,3-1991,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pike
Platte,2,9-2019,12-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Platte
Polk,2,7-2001,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Polk
Pulaski,6,7-2017,4-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pulaski
Putnam,,,,
Ralls,,,,
Randolph,,,,
Ray,2,11-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ray
Reynolds,4,10-2016,1-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Reynolds
Ripley,2,4-1998,3-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ripley
Saline,,,,
Schuyler,,,,
Scotland,,,,
Scott,2,11-1994,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Scott
Shannon,2,5-2012,3-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Shannon
Shelby,,,,
St. Charles,1,8-1976,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Charles
St. Clair,2,7-1982,12-1997,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Clair
St. Francois,2,4-2017,11-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Francois
St. Louis,2,10-2005,10-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Louis
St. Louis City,,,,
Ste. Genevieve,2,5-2000,2-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ste%2E+Genevieve
Stoddard,1,1-1986,3-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Stoddard
Stone,4,11-2004,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Stone
Sullivan,,,,
Taney,7,2-2018,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Taney
Texas,2,10-1990,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Texas
Vernon,5,10-2012,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Vernon
Warren,,,,
Washington,2,11-1989,2-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Washington
Wayne,3,4-2016,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Wayne
Webster,,,,
Worth,,,,
Wright,2,10-2020,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Wright
Adair,,,,
Andrew,1,7-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Andrew
Atchison,,,,
Audrain,,,,
Barry,2,7-2008,6-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Barry
Barton,,,,
Bates,,,,
Benton,,,,
Bollinger,1,7-2012,10-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Bollinger
Boone,5,5-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Boone
Buchanan,2,6-1996,9-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Buchanan
Butler,,,,
Caldwell,,,,
Callaway,2,12-2004,10-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Callaway
Camden,2,6-1986,1-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Camden
Cape Girardeau,1,7-2014,11-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cape+Girardeau
Carroll,,,,
Carter,,,,
Cass,5,7-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cass
Cedar,2,4-2007,6-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cedar
Chariton,1,11-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Chariton
Christian,,,,
Clark,,,,
Clay,1,5-2012,7-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Clay
Clinton,3,8-2023,9-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Clinton
Cole,,,,
Cooper,2,10-1975,3-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Cooper
Crawford,7,7-2022,7-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Crawford
Dade,1,12-1978,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Dade
Dallas,,,,
Daviess,1,11-2013,12-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Daviess
De Kalb,,,,
Dent,2,4-2005,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Dent
Douglas,4,11-2004,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Douglas
Dunklin,,,,
Franklin,4,3-2019,11-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Franklin
Gasconade,2,4-2003,6-2003,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Gasconade
Gentry,,,,
Greene,3,12-2004,12-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Greene
Grundy,,,,
Harrison,1,8-1979,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Harrison
Henry,1,11-1998,11-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Henry
Hickory,,,,
Holt,,,,
Howard,,,,
Howell,1,7-1967,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Howell
Iron,3,9-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Iron
Jackson,9,8-2020,10-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jackson
Jasper,2,1-2008,4-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jasper
Jefferson,5,2-2015,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Jefferson
Johnson,,,,
Knox,,,,
Laclede,,,,
Lafayette,3,4-2013,6-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Lafayette
Lawrence,4,11-1997,12-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Lawrence
Lewis,,,,
Lincoln,,,,
Linn,,,,
County,# ofListings,MostRecentReport,LastPosted,
Livingston,1,6-2021,6-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Livingston
Macon,,,,
Madison,1,5-1986,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Madison
Maries,1,11-2017,7-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Maries
Marion,1,6-1997,11-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Marion
McDonald,2,9-2010,7-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=McDonald
Mercer,1,4-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Mercer
Miller,2,8-2016,8-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Miller
Mississippi,1,8-2016,7-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Mississippi
Moniteau,,,,
Monroe,,,,
Montgomery,1,9-1976,12-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Montgomery
Morgan,1,11-2004,11-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Morgan
New Madrid,,,,
Newton,1,6-2010,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Newton
Nodaway,,,,
Oregon,2,6-1971,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Oregon
Osage,,,,
Ozark,2,11-2007,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ozark
Pemiscot,2,10-1961,11-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pemiscot
Perry,,,,
Pettis,,,,
Phelps,1,1-2007,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Phelps
Pike,5,3-1991,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pike
Platte,2,9-2019,12-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Platte
Polk,2,7-2001,10-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Polk
Pulaski,6,7-2017,4-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Pulaski
Putnam,,,,
Ralls,,,,
Randolph,,,,
Ray,2,11-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ray
Reynolds,4,10-2016,1-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Reynolds
Ripley,2,4-1998,3-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ripley
Saline,,,,
Schuyler,,,,
Scotland,,,,
Scott,2,11-1994,2-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Scott
Shannon,2,5-2012,3-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Shannon
Shelby,,,,
St. Charles,1,8-1976,5-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Charles
St. Clair,2,7-1982,12-1997,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Clair
St. Francois,2,4-2017,11-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Francois
St. Louis,2,10-2005,10-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=St%2E+Louis
St. Louis City,,,,
Ste. Genevieve,2,5-2000,2-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Ste%2E+Genevieve
Stoddard,1,1-1986,3-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Stoddard
Stone,4,11-2004,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Stone
Sullivan,,,,
Taney,7,2-2018,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Taney
Texas,2,10-1990,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Texas
Vernon,5,10-2012,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Vernon
Warren,,,,
Washington,2,11-1989,2-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Washington
Wayne,3,4-2016,1-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Wayne
Webster,,,,
Worth,,,,
Wright,2,10-2020,11-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=mo&county=Wright
Adams,1,,1-1977,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Adams
Alcorn,,,,
Amite,1,1-1973,5-1997,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Amite
Attala,1,1-1950,11-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Attala
Benton,,,,
Bolivar,1,1-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Bolivar
Calhoun,,,,
Carroll,,,,
Chickasaw,,,,
Choctaw,,,,
Claiborne,,,,
Clarke,4,10-2010,9-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Clarke
Clay,,,,
Coahoma,,,,
Copiah,,,,
Covington,,,,
De Soto,,,,
Forrest,,,,
Franklin,1,11-1979,2-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Franklin
George,1,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=George
Greene,,,,
Grenada,,,,
Hancock,1,7-1975,3-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Hancock
Harrison,,,,
Hinds,1,10-1979,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Hinds
Holmes,,,,
Humphreys,,,,
Issaquena,,,,
Itawamba,,,,
Jackson,1,9-2001,9-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Jackson
Jasper,,,,
Jefferson,,,,
Jefferson Davis,,,,
Jones,,,,
Kemper,,,,
Lafayette,,,,
Lamar,1,8-2012,7-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Lamar
Lauderdale,4,1-2022,1-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Lauderdale
Lawrence,,,,
Leake,,,,
Lee,,,,
County,# ofListings,MostRecentReport,LastPosted,
Leflore,,,,
Lincoln,,,,
Lowndes,1,8-1978,5-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Lowndes
Madison,,,,
Marion,,,,
Marshall,1,12-2004,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Marshall
Monroe,,,,
Montgomery,,,,
Neshoba,,,,
Newton,,,,
Noxubee,,,,
Oktibbeha,,,,
Panola,2,1-2019,6-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Panola
Pearl River,1,10-1997,6-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Pearl+River
Perry,,,,
Pike,1,,7-1972,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Pike
Pontotoc,,,,
Prentiss,,,,
Quitman,,,,
Rankin,,,,
Scott,,,,
Sharkey,,,,
Simpson,,,,
Smith,,,,
Sunflower,,,,
Tallahatchie,,,,
Tate,,,,
Tippah,,,,
Tishomingo,2,2-2013,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Tishomingo
Tunica,,,,
Union,,,,
Walthall,,,,
Warren,,,,
Washington,,,,
Wayne,,,,
Webster,,,,
Wilkinson,,,,
Winston,,,,
Yalobusha,,,,
Yazoo,,,,
Adams,1,,1-1977,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Adams
Alcorn,,,,
Amite,1,1-1973,5-1997,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Amite
Attala,1,1-1950,11-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Attala
Benton,,,,
Bolivar,1,1-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Bolivar
Calhoun,,,,
Carroll,,,,
Chickasaw,,,,
Choctaw,,,,
Claiborne,,,,
Clarke,4,10-2010,9-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Clarke
Clay,,,,
Coahoma,,,,
Copiah,,,,
Covington,,,,
De Soto,,,,
Forrest,,,,
Franklin,1,11-1979,2-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=Franklin
George,1,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ms&county=George
Greene,,,,
